Date,Close,High,Low,Open,Volume,Returns,Log_Returns
2021-04-30,28724.880859375,29154.75,28701.689453125,29143.4296875,2577600000,-0.01973769849757412,-0.019935088536308036
2021-05-03,28357.5390625,28684.830078125,28256.029296875,28659.91015625,1726000000,-0.012788279215964482,-0.012870753146190884
2021-05-04,28557.140625,28577.51953125,28321.33984375,28438.150390625,1921100000,0.00703874768752244,0.007014091335301341
2021-05-05,28417.98046875,28677.359375,28325.9609375,28427.669921875,1720800000,-0.004873042370641789,-0.004884954355776229
2021-05-06,28637.4609375,28753.970703125,28384.119140625,28647.970703125,2478800000,0.00772329578420794,0.007693623814330561
2021-05-07,28610.650390625,28884.029296875,28530.7109375,28721.130859375,2205300000,-0.0009362054455006596,-0.0009366439595329322
2021-05-10,28595.66015625,28842.109375,28453.140625,28776.990234375,2358800000,-0.0005239389587561316,-0.0005240762627337462
2021-05-11,28013.810546875,28286.560546875,27910.7109375,28286.560546875,2383400000,-0.020347479519469247,-0.020557341130891398
2021-05-12,28231.0390625,28231.0390625,27897.470703125,28073.919921875,2132300000,0.007754336571296427,0.007724426227210394
2021-05-13,27718.669921875,28060.9296875,27718.669921875,27920.009765625,2167400000,-0.018149142137159013,-0.018315858065404637
2021-05-14,28027.5703125,28064.009765625,27715.880859375,27872.689453125,1880800000,0.011144127459781883,0.011082489185122427
2021-05-17,28194.08984375,28268.390625,28074.140625,28130.509765625,1857000000,0.005941276014772345,0.005923696230963207
2021-05-18,28593.810546875,28617.33984375,28438.029296875,28438.029296875,2066000000,0.014177464331717404,0.01407790398964815
2021-05-20,28450.2890625,28508.240234375,28293.23046875,28413.490234375,2465800000,-0.0050193199727514015,-0.005031959070099404
2021-05-21,28458.439453125,28584.33984375,28286.919921875,28584.33984375,1653200000,0.00028647830632211324,0.0002864372792475075
2021-05-24,28412.259765625,28444.359375,28195.51953125,28417.990234375,1719600000,-0.0016227062476866783,-0.0016240242614956233
2021-05-25,28910.859375,28929.240234375,28461.5,28461.5,2352100000,0.01754874879675139,0.017396547552305734
2021-05-26,29166.009765625,29261.859375,29027.94921875,29056.279296875,2518500000,0.008825417028095472,0.008786700660549264
2021-05-27,29113.19921875,29157.94921875,28950.720703125,28998.390625,3805000000,-0.0018106881023279842,-0.0018123293795566117
2021-05-28,29124.41015625,29336.130859375,29033.720703125,29219.4609375,2591600000,0.00038508091865008254,0.0003850067940218378
2021-05-31,29151.80078125,29225.4609375,28909.51953125,29225.4609375,2188600000,0.0009404696903061449,0.0009400277257680811
2021-06-01,29468.0,29480.16015625,29036.44921875,29159.060546875,1832000000,0.010846644470532185,0.010788241559934618
2021-06-02,29297.619140625,29490.609375,29208.73046875,29414.640625,1933200000,-0.005781894236968954,-0.005798674098302401
2021-06-03,28966.029296875,29377.900390625,28902.669921875,29365.3203125,2241800000,-0.01131797918999522,-0.011382514921236575
2021-06-04,28918.099609375,29023.1796875,28737.970703125,28837.94921875,3054600000,-0.0016546861500679189,-0.0016560566552414706
2021-06-07,28787.279296875,29003.990234375,28615.609375,28985.599609375,2573200000,-0.004523821214641233,-0.004534084658853873
2021-06-08,28781.380859375,28979.19921875,28638.310546875,28900.51953125,1626900000,-0.000204897358974776,-0.00020491835330647116
2021-06-09,28742.630859375,28859.580078125,28687.689453125,28771.140625,1807000000,-0.001346356527830661,-0.0013472636801056884
2021-06-10,28738.880859375,28954.400390625,28664.939453125,28792.01953125,1940100000,-0.00013046822395446078,-0.000130476735673539
2021-06-11,28842.130859375,28965.150390625,28743.8203125,28864.900390625,2038600000,0.003592693831928395,0.0035862555234163003
2021-06-15,28638.529296875,28946.439453125,28453.48046875,28946.439453125,2376500000,-0.007059171997127911,-0.007084205833441397
2021-06-16,28436.83984375,28648.640625,28403.640625,28609.369140625,2053800000,-0.007042591155231204,-0.007067507251822822
2021-06-17,28558.58984375,28558.58984375,28216.08984375,28240.880859375,1888000000,0.004281418071381049,0.004272278877550663
2021-06-18,28801.26953125,28830.849609375,28532.080078125,28586.0390625,3761400000,0.00849760750890538,0.008461706082994548
2021-06-21,28489.0,28590.220703125,28314.9296875,28501.640625,2182700000,-0.010842214122234517,-0.010901419257848252
2021-06-22,28309.759765625,28579.0,28299.66015625,28575.16015625,1980100000,-0.006291559351855103,-0.006311434619533085
2021-06-23,28817.0703125,28893.7890625,28406.609375,28468.240234375,2293400000,0.01791998770300407,0.01776131749812903
2021-06-24,28882.4609375,28993.369140625,28782.33984375,28865.4609375,1723200000,0.002269162836155303,0.0022665921742659467
2021-06-25,29288.220703125,29305.169921875,28971.599609375,29002.669921875,2149400000,0.014048656259002312,0.013950888494106905
2021-06-28,29268.30078125,29394.689453125,29209.4296875,29366.490234375,1512600000,-0.00068013424498925,-0.0006803656412111322
2021-06-29,28994.099609375,29291.890625,28924.609375,29291.890625,2356500000,-0.009368537446856506,-0.009412698224818517
2021-06-30,28827.94921875,29146.279296875,28827.69921875,29107.900390625,2051500000,-0.005730489750103374,-0.0057469720042455106
2021-07-02,28310.419921875,28859.01953125,28231.73046875,28859.01953125,2816200000,-0.017952345237877476,-0.01811544353412908
2021-07-05,28143.5,28338.7890625,28042.7109375,28098.91015625,1827200000,-0.005896059554596156,-0.0059135099398808484
2021-07-06,28072.859375,28151.349609375,27904.529296875,28136.630859375,1904200000,-0.002510015634160645,-0.002513171004527704
2021-07-07,27960.619140625,27969.41015625,27703.41015625,27777.810546875,2040700000,-0.003998176063068071,-0.004006190137235728
2021-07-08,27153.130859375,27921.060546875,27110.619140625,27881.5,2948600000,-0.02887948500670967,-0.029304704084126686
2021-07-09,27344.5390625,27450.7890625,26861.869140625,27131.5703125,2500000000,0.007049213002960686,0.007024483448895776
2021-07-12,27515.240234375,27741.189453125,27420.349609375,27672.69921875,2054200000,0.006242605570524917,0.006223201222294009
2021-07-13,27963.41015625,28052.3203125,27612.689453125,27694.029296875,1995600000,0.016288061381891872,0.016156833952855
2021-07-14,27787.4609375,27965.390625,27708.7109375,27965.390625,1865700000,-0.0062921230910985,-0.006312001928192491
2021-07-15,27996.26953125,28181.2109375,27741.08984375,27801.400390625,2081500000,0.007514489870796615,0.007486396741034406
2021-07-16,28004.6796875,28218.529296875,27878.529296875,27972.560546875,1968800000,0.0003004027461805947,0.0003003576343098987
2021-07-19,27489.779296875,27786.5390625,27397.2890625,27786.5390625,1874200000,-0.018386226743911993,-0.018557354249392543
2021-07-20,27259.25,27532.859375,27121.490234375,27395.830078125,2263400000,-0.008386000279791528,-0.008421360606717608
2021-07-21,27224.580078125,27371.5,26971.029296875,27339.220703125,1672500000,-0.0012718589790621238,-0.0012726684781453502
2021-07-22,27723.83984375,27759.7109375,27455.4296875,27464.279296875,1807200000,0.01833856625859065,0.018172442657719435
2021-07-23,27321.98046875,27740.94921875,27222.0390625,27740.94921875,1182700000,-0.014495083554978527,-0.014601163619440315
2021-07-26,26192.3203125,26878.75,26177.400390625,26825.73046875,2695200000,-0.04134620319863225,-0.04222527365460194
2021-07-27,25086.4296875,26323.609375,24748.83984375,26011.509765625,4657400000,-0.04222194184423689,-0.04313919992262477
2021-07-28,25473.880859375,25520.75,24848.4296875,25356.740234375,3391800000,0.015444651817793753,0.015326597173120094
2021-07-29,26315.3203125,26335.359375,25857.419921875,26221.359375,3272200000,0.03303145907645755,0.03249764376522509
2021-07-30,25961.029296875,26151.0,25636.890625,26042.83984375,2425100000,-0.013463298619120656,-0.013554750581622128
2021-08-02,26235.80078125,26300.55078125,25743.08984375,26054.810546875,1768600000,0.010583998085471613,0.010528379676960024
2021-08-03,26194.8203125,26289.060546875,25774.619140625,26289.060546875,2010000000,-0.0015620056384666459,-0.0015632268411232397
2021-08-04,26426.55078125,26650.8203125,26009.830078125,26161.830078125,1776500000,0.008846423299930795,0.008807522948313032
2021-08-05,26204.689453125,26569.369140625,26126.369140625,26390.009765625,1695600000,-0.008395394842160564,-0.00843083466302789
2021-08-06,26179.400390625,26276.869140625,26002.41015625,26262.970703125,1559600000,-0.0009650586604064149,-0.0009655246293311139
2021-08-09,26283.400390625,26527.240234375,25920.849609375,25969.23046875,1585100000,0.003972589075693422,0.003964719179401952
2021-08-10,26605.619140625,26610.94921875,26138.869140625,26456.609375,1735300000,0.012259401189008035,0.01218486330514152
2021-08-11,26660.16015625,26822.470703125,26454.44921875,26491.740234375,2414400000,0.002049981071168494,0.002047882727193345
2021-08-12,26517.8203125,26713.240234375,26385.44921875,26623.76953125,1655000000,-0.0053390468367696675,-0.005353350481936402
2021-08-13,26391.619140625,26521.94921875,26200.240234375,26296.189453125,1336200000,-0.00475910804084867,-0.004770468654109455
2021-08-16,26181.4609375,26449.7109375,26046.900390625,26365.189453125,1648300000,-0.007963065926542612,-0.007994940461466824
2021-08-17,25745.869140625,26258.7890625,25615.380859375,26137.900390625,2291300000,-0.016637413699519654,-0.016777369978717916
2021-08-18,25867.009765625,26025.140625,25708.94921875,25800.029296875,1756900000,0.004705245114791978,0.004694210050579397
2021-08-19,25316.330078125,25832.919921875,25183.669921875,25787.83984375,2312900000,-0.021288880797957765,-0.0215187574193946
2021-08-20,24849.720703125,25244.75,24581.599609375,25241.3203125,2855800000,-0.018431161766340742,-0.018603131980077
2021-08-23,25109.58984375,25458.330078125,25036.990234375,25169.44921875,2185000000,0.010457628225669424,0.010403325488741713
2021-08-24,25727.919921875,25727.919921875,25361.75,25428.6796875,2052900000,0.024625256006677088,0.024326941845048255
2021-08-25,25693.94921875,25982.640625,25548.470703125,25930.05078125,1716400000,-0.0013203828070109669,-0.0013212552804733621
2021-08-26,25415.689453125,25706.619140625,25255.830078125,25673.779296875,1834100000,-0.010829777986092637,-0.010888846887551278
2021-08-27,25407.890625,25641.330078125,25304.619140625,25337.55078125,1528000000,-0.00030685093707116806,-0.00030689802545294786
2021-08-30,25539.5390625,25583.58984375,25219.80078125,25406.490234375,1995600000,0.005181399725110003,0.0051680224622877614
2021-08-31,25878.990234375,25878.990234375,25110.720703125,25524.23046875,2918100000,0.013291201969005684,0.013203648881402331
2021-09-01,26028.2890625,26101.94921875,25694.109375,25871.8203125,2181300000,0.00576911335306618,0.005752535746793743
2021-09-02,26090.4296875,26359.310546875,25967.98046875,26203.51953125,2024300000,0.0023874264209524654,0.002384581046343222
2021-09-03,25901.990234375,26052.810546875,25811.76953125,26022.669921875,2549400000,-0.007222550773676284,-0.007248759666470532
2021-09-06,26163.630859375,26176.4296875,25827.169921875,25827.169921875,1912500000,0.010101178428087332,0.010050502497294014
2021-09-07,26353.630859375,26458.880859375,26135.400390625,26207.220703125,1842200000,0.007261989019078374,0.007235747742809737
2021-09-08,26320.9296875,26560.0390625,26164.7890625,26396.109375,1861300000,-0.0012408602082003561,-0.0012416307126866951
2021-09-09,25716.0,26125.08984375,25624.51953125,26076.9296875,2090800000,-0.022982838930164617,-0.023251062027256582
2021-09-10,26205.91015625,26205.91015625,25870.7109375,25870.7109375,2001300000,0.019050791579172444,0.018871597531434896
2021-09-13,25813.810546875,25886.900390625,25570.83984375,25885.30078125,2315600000,-0.01496225878197499,-0.01507532258669992
2021-09-14,25502.23046875,25900.6796875,25377.830078125,25827.69921875,2399000000,-0.012070286080360204,-0.012143723522271397
2021-09-15,25033.2109375,25411.91015625,24990.939453125,25310.029296875,2420900000,-0.01839131411759176,-0.018562536926124973
2021-09-16,24667.849609375,25045.55078125,24505.2109375,25042.029296875,2499800000,-0.014595064494011267,-0.01470262025280133
2021-09-17,24920.759765625,24920.759765625,24424.740234375,24589.169921875,3102300000,0.010252622756135255,0.010200421118718444
2021-09-20,24099.140625,24640.4296875,23871.83984375,24640.4296875,2651600000,-0.032969265317437046,-0.03352500049456682
2021-09-21,24221.5390625,24284.869140625,23771.4609375,23867.16015625,2079700000,0.005078954449231565,0.005066100066261402
2021-09-23,24510.98046875,24827.4609375,24313.6796875,24614.140625,2711900000,0.011949752883297027,0.011878918331517255
2021-09-24,24192.16015625,24636.640625,24095.7890625,24487.240234375,2014400000,-0.013007244361623038,-0.013092579354338522
2021-09-27,24208.779296875,24509.0,24131.419921875,24131.419921875,2323600000,0.0006869638972981651,0.0006867280456082857
2021-09-28,24500.390625,24679.4609375,24232.98046875,24323.0,2457900000,0.012045684937226131,0.01197371306495227
2021-09-29,24663.5,24694.4609375,24045.990234375,24276.7109375,2150200000,0.0066574193651249836,0.006635356615342338
2021-09-30,24575.640625,24660.6796875,24346.75,24494.259765625,1580400000,-0.0035623238794169065,-0.0035686840643127157
2021-10-04,24036.369140625,24478.6796875,23908.05078125,24478.6796875,1596300000,-0.021943333750836902,-0.02218766967576721
2021-10-05,24104.150390625,24180.080078125,23681.439453125,23771.650390625,1717000000,0.0028199454586275152,0.002815976871481609
2021-10-06,23966.490234375,24259.19921875,23812.349609375,24259.19921875,1878700000,-0.005711056146726512,-0.005727426585967883
2021-10-07,24701.73046875,24741.279296875,24310.109375,24339.3203125,1764600000,0.03067784340489066,0.030216686181538475
2021-10-08,24837.849609375,25064.80078125,24595.580078125,25064.80078125,2359000000,0.00551051031818206,0.005495383003569358
2021-10-11,25325.08984375,25437.16015625,25161.80078125,25161.80078125,2114300000,0.01961684453516832,0.019426914112239815
2021-10-12,24962.58984375,25188.779296875,24865.80078125,24995.94921875,1835300000,-0.014313868271999874,-0.014417299875074063
2021-10-15,25330.9609375,25330.9609375,24929.560546875,25187.05078125,2345200000,0.014756926106456403,0.014649102144920987
2021-10-18,25409.75,25425.3203125,25123.25,25425.3203125,1648000000,0.0031103858513066296,0.003105558608369833
2021-10-19,25787.2109375,25808.619140625,25458.029296875,25471.25,1671200000,0.014854964629718914,0.014745710293292844
2021-10-20,26136.01953125,26214.630859375,25915.619140625,26074.19921875,1823600000,0.013526417982751227,0.013435752660732124
2021-10-21,26017.529296875,26229.80078125,25840.58984375,26141.849609375,2085100000,-0.004533599090455365,-0.004543907017282421
2021-10-22,26126.9296875,26195.2890625,25976.029296875,26114.83984375,1699600000,0.004204872391097458,0.004196056619341448
2021-10-25,26132.029296875,26212.900390625,25929.669921875,26020.779296875,1455200000,0.00019518594170819803,0.00019516689541061716
2021-10-26,26038.26953125,26234.939453125,25905.080078125,26234.939453125,1533500000,-0.003587925168758832,-0.0035943772098507637
2021-10-27,25628.740234375,25795.169921875,25555.169921875,25795.169921875,1620800000,-0.015727976714562386,-0.015852973705866434
2021-10-28,25555.73046875,25736.380859375,25473.16015625,25648.419921875,2021100000,-0.0028487457813893835,-0.0028528111803473163
2021-10-29,25377.240234375,25516.220703125,25314.240234375,25466.859375,2051300000,-0.006984352671635108,-0.007008857429327231
